Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,0
16988,1
17668,0
18348,0
19028,2
19708,2
20388,3
21068,6
21748,6
22428,8
23108,10
23860,11
24624,12
25388,15
26156,18
26920,20
27684,23
28448,24
29216,27
29980,29
30744,32
31508,34
32276,36
33040,38
33812,40
34568,43
35336,47
36100,49
36872,54
37628,56
38396,60
39160,64
39924,68
40688,72
41456,77
42220,79
42984,82
43748,84
44516,89
45280,92
46044,97
46808,101
47660,107
48508,112
49360,115
50208,119
51060,123
51908,128
52760,134
53608,139
54460,145
55316,149
56160,154
57008,158
57860,163
58708,168
59560,174
60408,179
61260,184
62108,187
62960,193
63808,198
64660,205
65508,210
66360,214
67208,217
68060,222
68908,228
69760,235
70608,238
71460,242
72308,247
73160,254
74008,259
74860,263
75708,269
76560,271
77408,276
78260,282
79108,287
79960,290
80808,294
81660,300
82508,305
83360,310
84208,312
85060,316
85908,321
86760,326
87608,330
88460,333
89308,337
90160,342
91008,347
91860,349
92708,351
93560,356
94408,361
95260,363
96108,365
96960,368
97808,373
98660,377
99508,379
100364,381
101296,386
102228,392
103164,394
104100,396
105036,400
105968,406
106904,407
107840,409
108776,414
109708,418
110644,420
111580,422
112516,426
113448,430
114384,432
115320,433
116256,437
117188,441
118124,441
119060,444
119996,448
120928,452
121872,454
122800,456
123736,459
124668,463
125604,464
126540,467
127476,470
128408,472
129344,473
130280,476
131216,480
132148,481
133084,483
134020,486
134956,489
135888,489
136824,494
137760,497
138696,497
139628,499
140564,501
141500,506
142436,505
143376,507
144304,511
145240,512
146176,513
147108,515
148044,519
148980,519
149916,521
150848,524
151784,528
152720,527
153656,530
154588,533
155524,533
156460,534
157396,538
158328,539
159264,538
160200,541
161136,544
162068,544
163004,545
163940,548
164880,549
165808,550
166744,553
167680,555
168616,555
169548,557
170484,561
171420,561
172356,561
173288,564
174224,566
175160,565
176096,567
177028,570
177964,568
178900,570
179836,573
180768,574
181704,573
182640,576
183576,578
184508,578
185444,580
186384,583
187316,582
188248,582
189184,586
190120,586
191056,587
191988,590
192924,590
193860,589
194796,591
195728,594
196664,592
197600,594
198536,596
199468,596
200404,596
201340,599
202276,600
203208,601
204144,603
205080,603
206016,602
206948,603
207892,607
208820,606
209756,606
210688,609
211624,609
212560,608
213496,610
214428,610
215364,609
216300,612
217236,614
218168,612
219104,614
220040,617
220976,616
221908,616
222844,618
223780,618
224716,618
225648,621
226584,620
227520,620
228456,622
229396,623
230324,621
231260,623
232196,625
233128,623
234064,624
235000,626
235936,626
236868,626
237804,628
238740,628
239676,628
240608,631
241544,631
242480,630
243416,631
244348,633
245284,631
246220,633
247156,633
248088,633
249024,633
249960,635
250900,633
251828,634
252764,636
253700,637
254636,636
255568,638
256504,638
257440,638
258376,640
259308,640
260244,638
261180,640
262116,641
263048,640
263984,641
264920,643
265856,641
266788,642
267724,644
268660,642
269596,643
270528,645
271464,645
272404,643
273336,645
274268,646
275204,646
276140,646
277076,647
278008,645
278944,647
279880,648
280816,646
281748,648
282684,650
283620,647
284556,649
285488,650
286424,648
287360,650
288296,651
289228,650
290164,649
291100,651
292036,651
292968,650
293908,652
294840,652
295776,650
296708,652
297644,652
298580,651
299516,653
300448,654
301384,653
302320,654
303256,655
304188,653
305124,654
306060,655
306996,653
307928,654
308864,656
309800,654
310736,655
311668,657
312604,656
313540,655
314476,656
315412,656
316344,656
317280,658
318216,657
319148,657
320084,658
321020,658
321956,656
322888,658
323824,659
324760,657
325696,658
326628,659
327564,658
328500,659
329436,660
330368,658
331304,659
332240,661
333176,659
334108,660
335044,661
335980,660
336916,660
337848,662
338784,660
339720,659
