Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,1
16988,2
17668,2
18348,2
19028,4
19708,5
20388,6
21068,8
21748,9
22428,11
23180,13
23944,14
24708,16
25476,19
26240,19
27004,21
27768,25
28536,26
29300,27
30064,29
30828,31
31596,34
32360,37
33124,40
33888,42
34656,46
35420,50
36184,53
36948,57
37716,61
38480,64
39244,67
40008,70
40776,73
41540,76
42304,81
43068,85
43836,88
44600,92
45364,97
46128,102
46980,106
47828,110
48680,111
49528,116
50380,123
51228,128
52080,133
52928,137
53780,141
54628,146
55480,152
56336,156
57180,163
58028,169
58880,174
59728,177
60580,181
61428,188
62280,194
63128,200
63980,205
64828,210
65680,215
66528,220
67380,227
68228,233
69080,237
69928,241
70780,247
71628,253
72480,259
73328,263
74180,268
75028,275
75880,281
76728,285
77580,289
78428,295
79280,301
80128,307
80980,309
81828,315
82680,320
83528,327
84380,332
85228,335
86080,340
86928,346
87780,352
88628,355
89480,360
90328,365
91180,370
92028,374
92880,377
93728,382
94580,388
95428,392
96280,395
97128,400
97980,405
98828,409
99680,411
100528,417
101464,423
102404,424
103336,428
104268,433
105204,438
106140,439
107076,444
108008,449
108944,452
109880,455
110816,460
111748,464
112684,466
113620,470
114556,474
115488,477
116424,480
117360,484
118296,488
119228,489
120164,493
121100,497
122036,498
122968,501
123912,505
124840,509
125776,509
126708,513
127644,518
128580,518
129516,521
130448,526
131384,529
132320,529
133256,534
134188,537
135124,538
136060,541
136996,545
137928,546
138864,547
139800,551
140736,552
141668,554
142604,557
143540,560
144476,560
145416,563
146344,567
147280,566
148216,571
149148,575
150084,575
151020,576
151956,580
152888,581
153824,583
154760,586
155696,587
156628,587
157564,592
158500,592
159436,592
160368,597
161304,598
162240,598
163176,600
164108,604
165044,604
165980,607
166920,610
167848,608
168784,611
169720,615
170656,614
171588,616
172524,619
173460,619
174396,620
175328,623
176264,623
177200,624
178136,627
179068,627
180004,627
180940,630
181876,631
182808,633
183744,635
184680,636
185616,635
186548,638
187484,640
188424,639
189356,642
190288,643
191224,642
192160,645
193096,645
194028,645
194964,647
195900,649
196836,647
197768,650
198704,652
199640,652
200576,654
201508,655
202444,654
203380,658
204316,658
205248,658
206184,660
207120,661
208056,659
208988,662
209932,662
210860,662
211796,664
212728,665
213664,664
214600,666
215536,668
216468,667
217404,669
218340,670
219276,669
220208,672
221144,672
222080,672
223016,673
223948,674
224884,673
225820,675
226756,674
227688,674
228624,676
229560,678
230496,676
231436,679
232364,680
233300,679
234236,682
235168,682
236104,682
237040,683
237976,683
238908,683
239844,686
240780,686
241716,685
242648,686
243584,685
244520,686
245456,687
246388,687
247324,686
248260,689
249196,689
250128,689
251064,691
252000,690
252940,690
253868,693
254804,691
255740,692
256676,693
257608,691
258544,692
259480,694
260416,692
261348,694
262284,694
263220,693
264156,695
265088,697
266024,696
266960,697
267896,697
268828,695
269764,698
270700,698
271636,698
272568,699
273504,700
274444,698
275376,699
276308,699
277244,698
278180,700
279116,700
280048,698
280984,701
281920,701
282856,702
283788,703
284724,702
285660,702
286596,704
287528,703
288464,703
289400,704
290336,703
291268,703
292204,705
293140,702
294076,703
295008,705
295952,703
296880,704
297816,706
298748,705
299684,705
300620,707
301556,704
302488,706
303424,708
304360,706
305296,707
306228,707
307164,705
308100,708
309036,707
309968,706
310904,707
311840,708
312776,706
313708,708
314644,707
315580,708
316516,709
317456,708
318384,708
319320,710
320256,709
321188,710
322124,710
323060,709
323996,709
324928,710
325864,709
326800,709
327736,711
328668,708
329604,709
330540,711
331476,710
332408,711
333344,712
334280,710
335216,711
336148,713
337084,711
338020,713
338960,712
339888,711
