Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,1
16988,2
17668,3
18348,5
19028,5
19708,8
20388,9
21068,9
21748,11
22500,13
23264,15
24028,18
24796,20
25560,21
26324,23
27088,25
27856,28
28620,29
29384,32
30148,32
30916,35
31680,38
32444,41
33208,44
33976,48
34740,51
35504,54
36268,58
37036,64
37800,65
38564,69
39328,72
40096,75
40860,78
41624,83
42388,85
43156,90
43920,95
44684,99
45448,103
46300,107
47148,112
48000,115
48848,119
49700,125
50548,130
51400,136
52248,140
53100,144
53948,150
54800,155
55648,160
56500,167
57356,172
58200,178
59048,181
59900,185
60748,192
61600,199
62448,204
63300,209
64148,214
65000,220
65848,226
66700,233
67548,238
68400,241
69248,247
70100,254
70948,260
71800,265
72648,270
73500,275
74348,283
75200,288
76048,293
76900,297
77748,304
78600,312
79448,315
80300,320
81148,327
82000,332
82848,338
83700,342
84548,347
85400,354
86248,360
87100,364
87948,370
88800,376
89648,381
90500,384
91348,389
92200,396
93048,400
93900,404
94748,411
95600,416
96448,421
97300,423
98148,429
99000,435
99848,438
100700,443
101636,448
102568,454
103504,456
104440,462
105376,469
106308,470
107244,476
108180,482
109116,484
110048,488
110984,494
111920,497
112856,500
113788,505
114724,509
115660,512
116596,517
117528,521
118464,522
119400,527
120336,532
121268,534
122204,537
123140,541
124076,543
125008,546
125944,552
126880,553
127816,555
128748,560
129684,563
130620,564
131556,568
132488,572
133424,572
134360,577
135296,579
136228,580
137164,585
138100,588
139036,588
139968,591
140904,596
141840,596
142776,599
143708,602
144644,603
145580,606
146516,610
147448,610
148384,613
149320,618
150256,617
151188,621
152124,623
153060,623
153996,626
154928,629
155864,629
156800,631
157736,635
158668,635
159604,637
160540,640
161476,640
162408,644
163344,646
164280,646
165216,649
166148,652
167084,652
168020,654
168956,655
169888,655
170824,660
171760,661
172696,660
173628,663
174564,664
175500,665
176436,668
177368,668
178304,670
179240,672
180176,671
181108,674
182044,676
182980,675
183916,678
184848,679
185784,678
186720,682
187656,683
188588,682
189524,685
190460,686
191396,686
192328,688
193264,689
194200,689
195136,692
196068,691
197004,693
197940,695
198876,695
199808,696
200744,699
201680,696
202616,698
203548,701
204484,699
205420,701
206356,703
207288,701
208224,704
209160,705
210096,703
211028,706
211964,706
212900,707
213836,710
214768,708
215704,709
216640,712
217576,710
218508,711
219444,713
220380,711
221316,714
222248,715
223184,713
224120,716
225056,716
225988,715
226924,718
227860,717
228796,717
229728,720
230664,719
231600,719
232536,721
233468,720
234404,722
235340,723
236276,721
237208,724
238144,723
239080,723
240016,725
240948,724
241884,724
242820,726
243756,725
244688,726
245624,728
246560,725
247496,727
248428,727
249364,727
250300,729
251236,729
252168,728
253104,731
254040,730
254976,730
255908,731
256844,730
257780,731
258716,733
259648,731
260584,733
261520,733
262456,731
263388,733
264324,732
265260,732
266196,736
267128,734
268064,734
269000,736
269936,734
270868,735
271804,737
272740,733
273676,736
274608,738
275544,736
276484,738
277416,737
278348,735
279284,738
280220,736
281156,738
282088,739
283024,737
283960,740
284896,740
285828,739
286764,740
287700,740
288636,738
289568,741
290504,740
291440,739
292376,741
293308,739
294244,740
295180,741
296116,739
297048,741
297992,741
298920,740
299856,742
300788,741
301724,741
302660,743
303596,742
304528,742
305464,744
306400,742
307336,743
308268,744
309204,741
310140,743
311076,742
312008,742
312944,743
313880,743
314816,743
315748,744
316684,743
317620,744
318556,746
319496,743
320424,745
321360,746
322296,744
323228,746
324164,745
325100,743
326036,745
326968,743
327904,744
328840,745
329776,743
330708,745
331644,745
332580,744
333516,746
334448,746
335384,744
336320,746
337256,746
338188,747
339124,748
340060,745
