Tempo, Uk, xhat, Erro, Saida
568,0.56,0.00,621.00,0.00
8552,1.00,0.00,621.00,0.00
16408,1.50,0.01,621.00,0.00
24324,1.97,0.01,621.00,1.00
32268,2.45,0.01,620.00,15.00
40268,2.82,0.02,606.00,36.00
48264,3.19,0.03,585.00,70.00
56264,3.42,0.03,551.00,110.00
64320,3.64,0.04,511.00,154.00
72368,3.79,0.05,467.00,206.00
80420,3.87,0.07,415.00,257.00
88476,3.93,0.08,364.00,311.00
96532,3.91,0.09,310.00,364.00
104588,3.88,0.10,257.00,417.00
112692,3.80,0.11,204.00,467.00
120796,3.70,0.12,154.00,517.00
128908,3.55,0.13,104.00,562.00
137028,3.41,0.13,59.00,601.00
145092,3.25,0.14,20.00,634.00
153156,3.11,0.15,-13.00,665.00
161244,2.93,0.15,-44.00,691.00
169316,2.77,0.15,-70.00,713.00
177388,2.60,0.16,-92.00,729.00
185452,2.46,0.16,-108.00,745.00
193572,2.29,0.16,-124.00,760.00
201692,2.12,0.16,-139.00,769.00
209820,1.97,0.16,-148.00,779.00
217948,1.80,0.17,-158.00,788.00
226076,1.63,0.17,-167.00,792.00
234204,1.49,0.17,-171.00,800.00
242332,1.30,0.17,-179.00,804.00
250460,1.16,0.17,-183.00,806.00
258596,1.00,0.17,-185.00,808.00
266716,0.85,0.16,-187.00,804.00
274836,0.74,0.16,-183.00,800.00
282964,0.61,0.16,-179.00,793.00
291092,0.52,0.16,-172.00,786.00
299220,0.42,0.16,-165.00,772.00
307348,0.39,0.15,-151.00,759.00
315468,0.32,0.15,-138.00,739.00
323592,0.35,0.15,-118.00,722.00
331716,0.32,0.14,-101.00,703.00
339844,0.36,0.14,-82.00,679.00
347916,0.43,0.13,-58.00,656.00
355996,0.50,0.13,-35.00,635.00
364068,0.58,0.13,-14.00,609.00
372140,0.73,0.12,12.00,588.00
380204,0.83,0.12,33.00,567.00
388268,0.97,0.12,54.00,551.00
396324,1.08,0.11,70.00,537.00
404380,1.22,0.11,84.00,529.00
412444,1.30,0.11,92.00,527.00
420500,1.38,0.11,94.00,531.00
428564,1.42,0.11,90.00,538.00
436628,1.45,0.11,83.00,547.00
444692,1.46,0.12,74.00,562.00
452756,1.43,0.12,59.00,576.00
460812,1.41,0.12,45.00,591.00
468868,1.36,0.13,30.00,609.00
476932,1.28,0.13,12.00,623.00
484996,1.23,0.13,-2.00,635.00
493020,1.16,0.13,-14.00,646.00
501092,1.10,0.13,-25.00,658.00
509164,1.01,0.14,-37.00,667.00
517236,0.94,0.14,-46.00,673.00
525300,0.88,0.14,-52.00,676.00
533372,0.83,0.14,-55.00,676.00
541452,0.79,0.14,-55.00,676.00
549532,0.75,0.14,-55.00,674.00
557612,0.72,0.14,-53.00,669.00
565692,0.71,0.14,-48.00,660.00
573772,0.73,0.13,-39.00,656.00
581852,0.70,0.13,-35.00,645.00
589916,0.76,0.13,-24.00,639.00
597988,0.74,0.13,-18.00,626.00
606060,0.84,0.13,-5.00,619.00
614084,0.83,0.13,2.00,609.00
622092,0.92,0.12,12.00,601.00
630148,0.94,0.12,20.00,594.00
638204,1.01,0.12,27.00,589.00
646268,1.04,0.12,32.00,582.00
654324,1.12,0.12,39.00,583.00
662388,1.11,0.12,38.00,581.00
670452,1.18,0.12,40.00,583.00
678516,1.17,0.12,38.00,587.00
686580,1.19,0.12,34.00,590.00
694644,1.20,0.12,31.00,596.00
702700,1.19,0.12,25.00,603.00
710756,1.17,0.13,18.00,608.00
718820,1.16,0.13,13.00,618.00
726892,1.10,0.13,3.00,622.00
734900,1.11,0.13,-1.00,629.00
742932,1.05,0.13,-8.00,635.00
750956,1.03,0.13,-14.00,638.00
759028,1.00,0.13,-17.00,641.00
767100,0.97,0.13,-20.00,646.00
775176,0.92,0.13,-25.00,646.00
783244,0.92,0.13,-25.00,646.00
791316,0.89,0.13,-25.00,648.00
799388,0.86,0.13,-27.00,644.00
807460,0.88,0.13,-23.00,643.00
815532,0.85,0.13,-22.00,639.00
823604,0.87,0.13,-18.00,634.00
831676,0.87,0.13,-13.00,631.00
839748,0.88,0.13,-10.00,626.00
847812,0.90,0.13,-5.00,623.00
855828,0.91,0.13,-2.00,618.00
863852,0.94,0.13,3.00,614.00
871860,0.96,0.13,7.00,611.00
879868,0.98,0.13,10.00,607.00
887924,1.01,0.12,14.00,607.00
895980,1.01,0.13,14.00,603.00
904044,1.06,0.12,18.00,605.00
912100,1.04,0.13,16.00,602.00
920164,1.09,0.12,19.00,606.00
928220,1.05,0.13,15.00,605.00
