Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,0
16988,0
17668,0
18348,0
19028,0
19708,1
20388,2
21068,2
21748,2
22428,4
23108,5
23788,6
24468,7
25148,8
25828,9
26508,11
27260,13
28024,14
28788,16
29556,18
30320,20
31084,23
31848,26
32616,29
33380,31
34144,34
34908,38
35676,41
36440,43
37204,47
37968,50
38736,53
39500,56
40264,59
41028,62
41796,66
42560,70
43324,74
44088,78
44856,83
45620,86
46384,90
47148,93
47916,95
48680,98
49444,103
50296,107
51144,113
51996,119
52844,123
53696,128
54544,132
55396,137
56244,142
57096,147
57944,153
58796,157
59644,161
60496,163
61344,168
62196,173
63044,179
63896,185
64744,189
65596,193
66444,197
67296,202
68144,207
68996,212
69844,215
70696,216
71544,220
72396,224
73244,229
74096,234
74944,238
75796,241
76644,244
77496,249
78344,253
79196,257
80044,259
80896,260
81744,263
82596,267
83444,271
84296,275
85144,278
85996,280
86844,283
87696,287
88544,291
89396,293
90244,293
91096,295
91944,298
92796,302
93644,306
94496,308
95344,310
96196,312
97044,317
97896,321
98744,322
99596,321
100444,323
101384,327
102316,331
103248,335
104184,337
105120,340
106056,343
106988,347
107924,348
108860,348
109796,351
110728,354
111664,358
112600,360
113536,362
114468,366
115404,371
116340,371
117276,370
118208,373
119144,378
120080,381
121016,383
121948,385
122892,388
123820,391
124756,390
125688,392
126624,395
127560,399
128496,401
129428,403
130364,406
131300,410
132236,411
133168,411
134104,413
135040,416
135976,419
136908,421
137844,423
138780,426
139716,428
140648,427
141584,428
142520,431
143456,434
144396,435
145324,436
146260,440
147196,443
148128,441
149064,441
150000,444
150936,447
151868,449
152804,450
153740,453
154676,456
155608,454
156544,454
157480,457
158416,460
159348,461
160284,462
161220,465
162156,467
163088,465
164024,466
164960,469
165900,471
166828,472
167764,473
168700,476
169636,477
170568,475
171504,477
172440,479
173376,482
174308,482
175244,484
176180,487
177116,487
178048,485
178984,488
179920,491
180856,493
181788,493
182724,495
183660,498
184596,495
185528,496
186464,499
187404,502
188336,502
189268,503
190204,505
191140,505
192076,503
193008,504
193944,507
194880,509
195816,509
196748,512
197684,515
198620,512
199556,512
200488,514
201424,516
202360,516
203296,517
204228,521
205164,521
206100,519
207036,520
207968,522
208912,522
209840,522
210776,524
211708,525
212644,522
213580,524
214516,527
215448,528
216384,526
217320,528
218256,531
219188,529
220124,528
221060,530
221996,532
222928,533
223864,533
224800,536
225736,535
226668,531
227604,532
228540,535
229476,535
230416,536
231344,538
232280,538
233216,535
234148,535
235084,537
236020,540
236956,540
237888,542
238824,544
239760,540
240696,539
241628,542
242564,543
243500,543
244436,543
245368,547
246304,547
247240,544
248176,544
249108,547
250044,546
250980,546
251920,549
252848,548
253784,546
254720,547
255656,549
256588,550
257524,549
258460,551
259396,552
260328,549
261264,550
262200,552
263136,552
264068,553
265004,554
265940,555
266876,551
267808,551
268744,554
269680,555
270616,554
271548,556
272484,558
273424,553
274356,553
275288,555
276224,556
277160,556
278096,557
279028,560
279964,558
280900,557
281836,558
282768,559
283704,559
284640,559
285576,561
286508,561
287444,558
288380,560
289316,561
290248,560
291184,560
292120,562
293056,561
293988,558
294932,560
295860,562
296796,562
297728,563
298664,565
299600,564
300536,561
301468,562
302404,564
303340,564
304276,564
305208,566
306144,566
307080,562
308016,563
308948,565
309884,565
310820,564
311756,566
312688,566
313624,564
314560,565
315496,566
316436,567
317364,566
318300,568
319236,569
320168,566
321104,567
322040,568
322976,568
323908,567
324844,569
325780,570
326716,566
327648,566
328584,570
329520,570
330456,570
331388,571
332324,571
333260,567
334196,567
335128,569
336064,571
337000,571
337940,572
338868,573
