Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,0
16988,0
17668,0
18348,0
19028,0
19708,0
20388,0
21068,0
21748,0
22428,0
23108,0
23788,0
24468,1
25148,1
25828,2
26508,3
27188,4
27868,4
28548,5
29228,6
29908,7
30588,8
31268,9
31948,10
32700,11
33464,13
34228,14
34996,15
35760,16
36524,18
37288,20
38056,22
38820,23
39584,26
40348,28
41116,31
41880,33
42644,35
43408,38
44176,41
44940,44
45704,46
46468,48
47236,51
48000,52
48764,54
49528,55
50296,57
51060,60
51824,62
52588,65
53356,68
54120,70
54884,74
55648,77
56416,80
57180,83
57944,86
58708,88
59476,90
60240,92
61004,95
61768,97
62536,99
63300,101
64148,104
65000,108
65848,111
66700,113
67548,115
68400,116
69248,116
70100,117
70948,119
71800,121
72648,123
73500,125
74348,128
75200,130
76048,132
76900,134
77748,136
78600,137
79448,138
80300,138
81148,140
82000,141
82848,142
83700,144
84548,146
85400,147
86248,149
87100,149
87948,150
88800,150
89648,150
90500,149
91348,151
92200,152
93048,153
93900,155
94748,157
95600,158
96448,161
97300,162
98148,163
99000,164
99848,164
100700,165
101636,167
102568,169
103504,171
104440,174
105376,176
106308,176
107244,177
108180,177
109116,178
110048,181
110984,184
111920,186
112856,189
113788,191
114724,192
115660,194
116596,196
117528,198
118464,201
119400,204
120336,206
121268,207
122204,206
123140,207
124076,210
125008,211
125944,214
126880,217
127816,219
128748,221
129684,222
130620,223
131556,225
132488,227
133424,230
134360,231
135296,231
136228,230
137164,230
138100,232
139036,234
139968,236
140904,238
141840,239
142776,240
143708,241
144644,241
145580,243
146516,245
147448,248
148384,248
149320,248
150256,246
151188,247
152124,248
153060,250
153996,252
154928,253
155864,254
156800,255
157736,256
158668,257
159604,259
160540,261
161476,262
162408,262
163344,261
164280,261
165216,262
166148,264
167084,266
168020,267
168956,268
169888,268
170824,270
171760,271
172696,273
173628,275
174564,275
175500,273
176436,273
177368,274
178304,276
179240,278
180176,280
181108,281
182044,281
182980,282
183916,283
184848,285
185784,287
186720,288
187656,286
188588,286
189524,287
190460,288
191396,291
192328,292
193264,293
194200,293
195136,295
196068,296
197004,298
197940,299
198876,298
199808,296
200744,297
201680,298
202616,300
203548,301
204484,302
205420,302
206356,302
207288,303
208224,305
209160,307
210096,307
211028,305
211964,304
212900,305
213836,307
214768,308
215704,310
216640,310
217576,309
218508,310
219444,311
220380,313
221316,314
222248,314
223184,312
224120,312
225056,313
225988,315
226924,317
227860,317
228796,317
229728,318
230664,320
231600,320
232536,322
233468,321
234404,319
235340,319
236276,319
237208,321
238144,323
239080,323
240016,323
240948,323
241884,324
242820,326
243756,327
244688,327
245624,325
246560,324
247496,326
248428,327
249364,329
250300,329
251236,328
252168,328
253104,330
254040,331
254976,333
255908,331
256844,329
257780,329
258716,330
259648,332
260584,335
261520,334
262456,334
263388,334
264324,336
265260,337
266196,337
267128,336
268064,334
269000,335
269936,336
270868,338
271804,338
272740,338
273676,338
274608,339
275544,340
276484,342
277416,341
278348,339
279284,338
280220,339
281156,341
282088,342
283024,343
283960,342
284896,342
285828,343
286764,345
287700,345
288636,345
289568,342
290504,343
291440,344
292376,345
293308,346
294244,346
295180,346
296116,347
297048,348
297992,350
298920,349
299856,346
300788,346
301724,346
302660,348
303596,349
304528,349
305464,349
306400,349
307336,350
308268,351
309204,351
310140,350
311076,348
312008,349
312944,350
313880,351
314816,352
315748,352
316684,352
317620,352
318556,353
319496,355
320424,354
321360,351
322296,351
323228,352
324164,353
325100,354
326036,354
326968,354
327904,355
328840,356
329776,358
330708,357
331644,354
332580,353
333516,354
334448,355
335384,356
336320,356
