Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,1
14948,1
15628,2
16308,3
16988,4
17668,5
18348,6
19028,7
19708,8
20388,10
21140,12
21904,14
22668,16
23436,18
24200,21
24964,22
25728,26
26496,29
27260,31
28024,35
28788,37
29556,41
30320,43
31084,46
31848,49
32616,51
33380,53
34144,56
34908,60
35676,64
36440,67
37204,72
37968,76
38736,81
39500,85
40264,89
41028,92
41796,96
42560,99
43324,105
44176,110
45024,116
45876,121
46724,124
47576,127
48424,131
49276,136
50124,141
50976,148
51824,154
52676,160
53524,165
54376,170
55224,176
56076,183
56924,189
57776,193
58624,196
59476,202
60324,208
61176,215
62024,221
62876,227
63724,233
64576,240
65424,247
66276,251
67124,254
67976,260
68824,268
69676,275
70524,281
71376,286
72224,293
73076,300
73924,305
74776,308
75624,315
76476,323
77324,329
78176,334
79024,341
79880,349
80724,352
81576,355
82424,362
83276,370
84124,375
84976,381
85824,389
86676,395
87524,396
88376,402
89224,409
90076,415
90924,420
91776,427
92624,433
93476,435
94324,440
95176,447
96024,453
96876,457
97724,464
98576,470
99424,471
100276,478
101208,485
102144,489
103080,496
104016,502
104948,502
105884,508
106820,515
107756,519
108688,526
109624,531
110560,532
111496,537
112428,543
113364,546
114300,551
115236,556
116168,557
117104,562
118040,567
118976,570
119908,577
120852,579
121780,579
122716,585
123648,588
124584,592
125520,598
126456,597
127388,600
128324,606
129260,608
130196,612
131128,616
132064,615
133000,619
133936,623
134868,625
135804,630
136740,632
137676,631
138608,636
139544,638
140480,641
141416,645
142356,643
143284,647
144220,651
145156,652
146088,656
147024,658
147960,656
148896,660
149828,663
150764,664
151700,669
152636,667
153568,669
154504,673
155440,673
156376,677
157308,678
158244,676
159180,681
160116,684
161048,684
161984,688
162920,685
163860,687
164788,691
165724,691
166660,695
167596,695
168528,694
169464,698
170400,699
171336,700
172268,703
173204,700
174140,702
175076,705
176008,706
176944,710
177880,707
178816,708
179748,711
180684,711
181620,713
182556,714
183488,711
184424,715
185364,717
186296,718
187228,720
188164,716
189100,718
190036,721
190968,720
191904,724
192840,725
193776,723
194708,725
195644,725
196580,726
197516,728
198448,724
199384,726
200320,729
201256,728
202188,732
203124,730
204060,729
204996,732
205928,732
206868,734
207800,735
208736,733
209668,736
210604,736
211540,736
212476,738
213408,734
214344,736
215280,738
216216,737
217148,740
218084,739
219020,738
219956,740
220888,740
221824,741
222760,742
223696,739
224628,741
225564,743
226500,743
227436,746
228372,740
229304,741
230240,744
231176,743
232108,746
233044,745
233980,742
234916,745
235848,746
236784,747
237720,748
238656,744
239588,746
240524,747
241460,747
242396,750
243328,747
244264,747
245200,748
246136,748
247068,750
248004,750
248940,746
249876,748
250808,749
251744,750
252680,753
253616,748
254548,750
255484,751
256420,750
257356,753
258288,749
259224,751
260160,753
261096,751
262028,754
262964,753
263900,749
264836,752
265768,752
266704,752
267640,754
268576,751
269508,754
270444,754
271380,753
272316,755
273248,751
274184,752
275120,754
276056,754
276988,756
277924,756
278860,752
279796,754
280728,754
281664,754
282600,756
283536,752
284468,754
285404,756
286340,755
287276,758
288208,753
289144,753
290080,755
291016,754
291948,757
292884,758
293820,754
294756,756
295688,756
296624,756
297560,757
298496,754
299428,755
300364,756
301300,755
302236,758
303168,755
304104,754
305040,756
305976,755
306908,757
307844,757
308780,754
309716,757
310648,757
311584,757
312520,759
313456,754
314388,756
315324,757
316260,756
317196,758
318128,755
319064,756
320000,758
320936,756
321868,758
322804,757
323740,754
324676,756
325608,758
326544,758
327480,760
328416,755
329348,757
330284,757
331220,757
332156,759
333088,755
334024,755
334960,758
335896,757
336828,759
337764,758
338700,754
339636,756
340568,757
