Tempo,Saida
128,0
588,0
948,0
1308,0
1716,0
2128,0
2540,0
2932,0
3348,0
3756,0
4168,0
4580,0
4972,0
5388,0
5796,0
6208,0
6620,0
7012,0
7428,0
7836,0
8248,0
8660,0
9052,0
9468,0
9876,0
10288,0
10868,0
11548,0
12228,0
12908,0
13588,0
14268,0
14948,0
15628,0
16308,0
16988,0
17668,0
18348,1
19028,2
19708,2
20388,4
21068,4
21748,6
22428,7
23108,8
23788,10
24540,13
25304,14
26068,16
26836,18
27600,20
28364,23
29128,25
29896,28
30660,30
31424,33
32188,35
32956,37
33720,40
34484,41
35248,44
36016,47
36780,50
37544,53
38308,57
39076,61
39840,65
40604,69
41368,73
42136,78
42900,81
43664,84
44428,88
45196,92
45960,96
46724,101
47576,107
48424,112
49276,117
50124,119
50976,122
51824,127
52676,132
53524,139
54376,145
55224,150
56076,155
56924,160
57776,165
58624,172
59476,178
60324,182
61176,185
62024,189
62876,195
63724,202
64576,208
65424,213
66276,217
67124,222
67976,228
68824,235
69676,239
70524,241
71376,245
72224,250
73076,256
73924,262
74776,267
75624,270
76476,276
77324,282
78176,287
79024,288
79880,292
80724,296
81576,301
82424,306
83276,310
84124,313
84976,318
85824,324
86676,327
87524,327
88376,331
89224,336
90076,341
90924,344
91776,346
92624,350
93476,355
94324,359
95176,358
96024,361
96876,365
97724,370
98576,373
99424,375
100276,379
101208,384
102144,387
103080,386
104016,390
104948,394
105884,398
106820,402
107756,405
108688,409
109624,412
110560,411
111496,414
112428,419
113364,423
114300,425
115236,428
116168,432
117104,434
118040,433
118976,437
119908,441
120852,444
121780,446
122716,451
123648,455
124584,454
125520,456
126456,460
127388,464
128324,465
129260,468
130196,473
131128,474
132064,473
133000,476
133936,480
134868,481
135804,483
136740,488
137676,489
138608,488
139544,492
140480,496
141416,498
142356,499
143284,503
144220,505
145156,503
146088,506
147024,511
147960,512
148896,512
149828,516
150764,518
151700,516
152636,518
153568,521
154504,524
155440,524
156376,528
157308,530
158244,527
159180,529
160116,532
161048,534
161984,535
162920,539
163860,541
164788,538
165724,540
166660,543
167596,544
168528,545
169464,548
170400,549
171336,546
172268,549
173204,553
174140,553
175076,554
176008,557
176944,556
177880,555
178816,557
179748,561
180684,562
181620,563
182556,566
183488,563
184424,564
185364,567
186296,568
187228,568
188164,571
189100,573
190036,570
190968,572
191904,575
192840,575
193776,575
194708,578
195644,578
196580,577
197516,579
198448,581
199384,581
200320,582
201256,585
202188,582
203124,582
204060,586
204996,587
205928,588
206868,590
207800,591
208736,587
209668,589
210604,592
211540,592
212476,593
213408,596
214344,593
215280,592
216216,595
217148,598
218084,597
219020,600
219956,600
220888,596
221824,598
222760,602
223696,602
224628,602
225564,605
226500,603
227436,601
228372,603
229304,605
230240,604
231176,606
232108,607
233044,603
233980,604
234916,607
235848,607
236784,607
237720,610
238656,609
239588,608
240524,610
241460,610
242396,610
243328,612
244264,613
245200,610
246136,612
247068,614
248004,613
248940,613
249876,616
250808,612
251744,612
252680,614
253616,615
254548,614
255484,617
256420,619
257356,616
258288,616
259224,618
260160,618
261096,618
262028,621
262964,618
263900,618
264836,620
265768,620
266704,620
267640,622
268576,621
269508,618
270444,620
271380,622
272316,621
273248,624
274184,626
275120,621
276056,622
276988,624
277924,623
278860,624
279796,628
280728,626
281664,623
282600,625
283536,626
284468,624
285404,627
286340,627
287276,623
288208,624
289144,628
290080,627
291016,628
291948,630
292884,626
293820,626
294756,628
295688,629
296624,629
297560,632
298496,630
299428,627
300364,628
301300,630
302236,628
303168,630
304104,631
305040,627
305976,629
306908,631
307844,630
308780,631
309716,633
310648,629
311584,629
312520,632
313456,633
314388,632
315324,633
316260,633
317196,629
318128,631
319064,633
320000,631
320936,633
321868,633
322804,630
323740,631
324676,633
325608,633
326544,633
327480,635
328416,632
329348,632
330284,635
331220,635
332156,633
333088,636
334024,636
334960,632
335896,634
336828,634
337764,633
338700,635
339636,637
