Q_c,R_c,Q_k,R_k,L_o,L_k,K,Ki,Ultrapassagem(%),TempoAcomodacao(s)
0.1,5,0.1,50,0.0396018032855742,0.0431400357755218,30.0462407805667,0.141421356237309,6.21405186704034,0.21701609795939
0.1,6,0.1,60,0.0378229757860791,0.039246269423873,28.4327738154318,0.129099444873581,5.98900543143939,0.227676295197467
0.1,7,0.1,70,0.0364002146130009,0.0362204290842938,27.127372666612,0.119522860933439,5.80632458832682,0.236987299605405
0.1,8,0.1,80,0.0352176949383228,0.033781685865991,26.0384971929762,0.11180339887499,5.6481164394647,0.245326005852338
0.1,9,0.1,90,0.0342105297988144,0.0317619009870178,25.1093080923849,0.105409255338946,5.50058411563723,0.252905211508005
0.1,10,0.1,100,0.0333382808098559,0.030053444376893,24.3022576084578,0.1,5.38336856078065,0.259857950095044
0.1,20,0.1,200,0.0282279662363345,0.0208082819831009,19.5216307685112,0.0707106781186547,4.61333146223391,0.309747980080271
0.1,30,0.1,300,0.0256940395595329,0.0167179896148919,17.1123605343419,0.0577350269189626,4.16995664424593,0.342337556214977
0.1,40,0.1,400,0.0240835251034413,0.0142828713604155,15.5582917334865,0.05,3.8469246896222,0.36687073855892
