Q_c         R_c         Q_k         R_k         L_o         L_k         K           Ki          Ultrapassagem(%)        TempoAcomodacao(s)
0,5         0,1         5           0,1         0,0912166147596862          7,06945768926615      139,709980491713      2,23606797749979     37,3188926648257          0,0920110047596679
1           0,1         10          0,1       0,0723101341875144    9,99838982369613         167,558565394413       3,16227766016838     56,8104786642535      0,116616499815053
2           0,1         20          0,1       0,0445936717767253    14,1405254094522         200,693445585744       4,47213595499959     84,9546772851657      0,191812957143288
3           0,1         30          0,1       0,021698647617469     17,3188978445866     222,919464764688       5,47722557505167      96,2849667280671         0,410425442052553
