Método,Sistema,Ultrapassagem(%),TempoAcomodação(s)
Contínuo,"A=-10.42, B=1, C=6198, D=0",16.7764270877129,0.30098762910189
ZOH,"A=0.92, B=0.007676, C=6198, D=0",26.2182528141831,0.300020722824756
Tustin,"A=0.92, B=0.00768, C=5950, D=23.8",20.3640895024017,0.291475050888769
Euler,"A=0.9167, B=0.008, C=6198, D=0",25.2088250316271,0.293153495604782
Referência,"—",16.8067226890756,0.3
