Tempo,Saida
128,0
8108,0
15964,3
23876,20
31840,50
39792,87
47752,129
55772,174
63788,227
71804,281
79812,334
87828,387
95844,440
103860,489
111924,533
119988,572
128060,606
136116,635
144184,660
152244,681
160308,699
168380,714
176444,726
184508,736
192572,746
200628,754
208696,761
216760,765
224820,768
232892,774
240956,777
249020,779
257084,779
265144,783
273204,785
281272,786
289332,785
297404,788
305476,789
313548,789
321620,787
329680,790
337744,792
345816,791
353880,789
361948,791
370012,791
378076,792
386148,789
394212,792
402288,793
410360,793
418424,790
426488,792
434556,792
442628,792
450700,790
458772,792
466840,794
474912,792
482984,791
491048,792
499116,793
507188,791
515260,790
523324,791
531392,793
539464,791
547536,790
555600,791
563668,793
571740,792
579812,791
587884,791
595952,793
604024,792
612096,791
620168,791
628232,792
636300,792
644372,790
652444,790
660516,792
668576,792
676640,790
684704,791
692768,792
700836,792
708908,791
716980,790
725044,793
733112,792
741184,789
749256,791
757320,791
765388,793
773460,790
781532,791
789604,791
797672,793
805744,790
813816,791
821888,790
829952,792
838020,789
846092,789
854156,791
862228,792
870296,790
878368,790
886440,791
894504,793
902572,790
910636,790
918708,791
926780,792
934848,790
942920,789
950992,790
959056,792
967124,791
975196,790
983268,791
991340,792
999408,792
1007480,789
1015596,792
1023716,792
1031840,791
1039948,789
1048060,792
1056180,791
1064300,791
1072420,790
1080540,792
1088660,792
1096780,791
1104892,790
1113016,793
1121136,791
1129252,790
1137376,791
1145496,792
1153616,791
1161728,789
1169844,791
1177964,793
1186084,790
1194204,791
1202324,792
1210444,792
1218560,789
1226676,791
1234800,791
1242920,792
1251036,789
1259156,791
1267280,792
1275392,792
1283508,790
1291628,792
1299748,792
1307868,791
1315988,791
1324108,791
1332220,793
1340344,790
1348460,791
1356584,791
1364700,792
1372824,789
1380932,791
1389052,791
1397172,792
1405292,789
1413412,791
1421532,792
1429652,792
1437772,789
1445884,792
1454008,792
1462128,791
1470244,790
1478368,791
1486488,792
1494600,790
1502716,790
1510836,793
1518956,792
1527076,790
1535196,790
1543316,792
1551436,791
1559548,789
1567668,790
1575792,793
1583912,791
1592032,790
1600152,791
1608260,793
1616380,791
1624500,791
1632620,792
1640740,792
1648860,791
1656980,790
1665100,793
1673212,791
1681332,790
1689452,790
1697572,792
1705696,791
1713816,789
1721924,790
1730044,793
1738164,791
1746284,790
1754404,791
1762524,792
1770644,790
1778764,791
1786876,791
1795000,792
1803120,790
1811236,791
1819356,793
1827476,793
1835592,790
1843708,792
1851828,792
1859948,792
1868068,789
1876188,792
1884308,792
1892428,792
1900544,790
1908660,793
1916784,793
1924904,791
1933024,792
1941144,792
1949252,793
1957372,791
1965492,791
1973612,793
1981732,792
1989852,790
1997972,792
2006092,792
2014204,792
2022324,789
2030444,792
2038564,793
2046684,792
2054808,790
2062916,793
2071036,792
2079156,791
2087276,791
2095396,793
2103516,792
2111636,791
2119756,791
2127872,793
2135988,792
2144112,791
2152228,791
2160352,793
2168472,792
2176584,790
2184700,791
2192820,793
2200940,791
2209060,791
2217180,792
2225300,793
2233420,790
2241532,792
2249652,792
2257776,793
2265896,791
2274012,792
2282132,793
2290248,792
2298364,791
2306484,792
2314604,793
2322724,791
2330844,790
2338964,791
2347084,793
2355200,791
2363320,792
2371436,792
2379560,793
2387676,791
2395800,792
2403920,792
2412032,793
2420148,789
2428268,791
2436388,792
2444508,792
2452628,790
2460748,793
2468864,793
2476984,792
2485100,791
2493224,792
2501344,793
2509460,791
2517576,790
2525696,793
2533820,792
2541940,791
2550060,791
2558180,793
2566300,792
2574420,791
2582540,791
2590656,794
2598772,792
2606896,790
2615012,792
2623136,792
2631248,792
2639356,789
2647476,792
2655596,794
2663716,792
2671836,790
2679956,793
2688076,792
2696188,791
2704308,790
2712432,792
2720552,792
2728668,791
2736792,790
2744904,793
2753020,792
2761140,791
2769260,791
2777380,793
2785500,791
2793620,790
2801740,791
2809856,793
2817976,791
2826092,790
2834212,792
2842336,793
2850452,790
2858564,791
2866684,791
2874804,793
2882924,790
2891044,791
2899164,793
2907284,793
2915404,791
2923516,792
2931640,792
2939760,792
2947876,790
2956000,791
2964120,794
2972232,791
2980348,791
2988468,791
2996588,793

