Tempo,Saida
128,0
8108,0
15964,0
23876,0
31788,1
39692,9
47604,19
55568,28
63528,39
71480,48
79440,52
87408,52
95368,56
103320,62
111336,66
119352,76
127368,84
135384,92
143400,97
151408,101
159476,105
167540,110
175604,114
183676,121
191740,125
199812,131
207868,133
215932,136
223996,141
232068,143
240132,147
248204,152
256268,153
264332,155
272396,160
280452,160
288516,162
296580,166
304644,168
312716,168
320780,170
328844,173
336908,173
344964,174
353028,177
361092,180
369156,181
377228,180
385292,181
393356,183
401428,183
409484,183
417556,184
425620,186
433684,188
441756,187
449820,186
457884,187
465948,189
474004,188
482068,188
490132,190
498196,192
506268,193
514332,192
522396,191
530460,190
538516,192
546580,193
554644,193
562708,193
570780,193
578852,194
586916,194
594988,193
603052,192
611124,193
619196,195
627260,196
635332,195
643404,193
651468,192
659540,193
667596,195
675660,195
683732,195
691796,194
699868,196
707932,195
715996,194
724068,193
732124,194
740196,196
748260,197
756324,195
764396,194
772468,192
780540,194
788612,195
796684,196
804748,196
812820,194
820884,194
828940,194
837012,193
845076,192
853140,194
861204,195
869260,197
877332,195
885404,193
893468,191
901540,193
909604,194
917668,195
925740,195
933804,194
941876,194
949948,194
958012,192
966084,191
974148,193
982220,195
990292,196
998356,194
1006428,192
1014548,191
1022668,192
1030788,194
1038900,194
1047020,193
1055140,192
1063260,193
1071380,192
1079500,191
1087620,190
1095740,192
1103852,194
1111972,194
1120092,192
1128212,189
1136332,189
1144452,191
1152564,192
1160684,192
1168804,191
1176924,191
1185044,192
1193164,190
1201284,189
1209404,188
1217516,191
1225636,193
1233756,192
1241876,190
1249996,189
1258116,190
1266228,190
1274348,190
1282468,190
1290588,191
1298708,192
1306828,191
1314948,190
1323068,188
1331180,190
1339300,192
1347420,192
1355540,191
1363660,190
1371780,191
1379892,192
1388012,190
1396132,189
1404252,190
1412372,191
1420492,192
1428612,190
1436732,189
1444844,188
1452964,190
1461084,190
1469204,190
1477324,188
1485444,189
1493556,190
1501676,189
1509796,187
1517916,187
1526036,189
1534156,190
1542276,190
1550396,188
1558508,188
1566628,189
1574748,188
1582868,187
1590988,188
1599108,190
1607220,191
1615340,189
1623460,186
1631580,186
1639700,187
1647820,188
1655940,188
1664060,188
1672172,189
1680292,189
1688412,187
1696532,185
1704652,186
1712772,188
1720884,189
1729004,188
1737124,187
1745244,188
1753364,186
1761484,184
1769604,184
1777724,186
1785836,188
1793956,188
1802076,186
1810196,185
1818316,185
1826436,184
1834548,184
1842668,185
1850788,187
1858908,187
1867028,184
1875148,182
1883268,183
1891388,184
1899500,184
1907620,184
1915740,185
1923860,186
1931980,184
1940100,182
1948212,181
1956332,183
1964452,184
1972572,184
1980692,184
1988812,185
1996932,184
2005052,182
2013164,182
2021284,184
2029404,186
2037524,185
2045644,184
2053764,185
2061876,186
2069996,184
2078116,183
2086236,184
2094356,186
2102476,186
2110596,186
2118716,184
2126828,186
2134948,186
2143068,184
2151188,183
2159308,185
2167428,187
2175540,186
2183660,185
2191780,185
2199900,186
2208020,184
2216140,184
2224260,184
2232380,187
2240492,187
2248612,185
2256732,183
2264852,184
2272972,184
2281092,184
2289204,184
2297324,185
2305444,186
2313564,184
2321684,182
2329804,182
2337924,183
2346044,184
2354156,184
2362276,184
2370396,186
2378516,185
2386636,183
2394756,182
2402868,183
2410988,184
2419108,184
2427228,184
2435348,184
2443468,185
2451588,184
2459708,182
2467820,183
2475940,184
2484060,185
2492180,184
2500300,184
2508420,185
2516532,184
2524652,181
2532772,181
2540892,184
2549012,184
2557132,183
2565252,182
2573372,183
2581484,183
2589604,181
2597724,181
2605844,184
2613964,185
2622084,184
2630196,182
2638316,183
2646436,183
2654556,180
2662676,180
2670796,183
2678916,185
2687036,184
2695148,182
2703268,182
2711388,183
2719508,181
2727628,180
2735748,183
2743860,184
2751980,184
2760100,181
2768220,181
2776340,182
2784460,181
2792580,181
2800700,183
2808812,184
2816932,184
2825052,181
2833172,180
2841292,181
2849412,181
2857524,180
2865644,182
2873764,184
2881884,184
2890004,181
2898124,180
2906244,181
2914364,182
2922476,181
2930596,182
2938716,183
2946836,184
2954956,181
2963076,180
2971188,181
2979308,182
2987428,181
2995548,182

