Tempo,Saida
128,0
8108,0
15964,1
23876,15
31840,39
39792,71
47752,109
55772,156
63788,205
71804,257
79812,308
87832,358
95844,404
103860,450
111924,489
119996,522
128068,553
136128,578
144188,599
152256,618
160320,636
168388,653
176452,666
184516,679
192580,689
200636,698
208700,705
216768,712
224832,718
232900,722
240972,727
249036,730
257100,733
265156,735
273220,738
281288,738
289348,742
297420,743
305492,747
313564,747
321636,749
329692,750
337760,751
345824,751
353888,752
361956,751
370028,751
378092,751
386164,753
394232,752
402304,754
410376,754
418436,756
426504,755
434572,755
442644,754
450708,754
458772,754
466840,753
474912,754
482984,753
491048,755
499116,754
507188,756
515260,755
523324,756
531380,755
539456,755
547528,753
555592,753
563660,753
571724,754
579796,754
587868,755
595936,755
604008,756
612080,756
620152,756
628212,754
636284,754
644356,753
652428,754
660500,753
668560,754
676620,754
684688,756
692752,755
700820,756
708892,755
716964,754
725028,754
733096,752
741168,752
749240,753
757304,754
765372,753
773444,755
781516,754
789588,755
797656,754
805728,754
813800,753
821872,753
829940,751
838004,753
846076,753
854148,754
862220,755
870288,755
878360,755
886432,756
894492,754
902564,755
910628,753
918700,754
926772,753
934840,755
942912,757
950984,757
959044,757
967116,758
975188,757
983260,757
991332,757
999400,755
1007472,756
1015588,755
1023708,757
1031828,757
1039940,759
1048060,758
1056180,760
1064300,758
1072420,759
1080540,756
1088660,757
1096780,757
1104892,759
1113012,758
1121132,759
1129252,759
1137372,759
1145492,757
1153608,758
1161724,756
1169844,757
1177964,757
1186084,759
1194204,758
1202324,760
1210444,758
1218556,759
1226676,757
1234796,757
1242916,755
1251036,757
1259156,757
1267276,758
1275388,759
1283508,759
1291628,759
1299748,758
1307868,758
1315988,755
1324108,757
1332220,756
1340340,758
1348460,759
1356580,759
1364700,758
1372820,759
1380932,756
1389052,757
1397172,755
1405292,757
1413412,756
1421532,759
1429652,757
1437772,760
1445884,757
1454004,758
1462124,756
1470244,756
1478364,755
1486484,757
1494596,756
1502716,758
1510836,758
1518956,759
1527076,758
1535196,758
1543316,756
1551436,756
1559548,756
1567668,758
1575788,758
1583908,759
1592028,759
1600148,759
1608260,759
1616380,757
1624500,757
1632620,756
1640740,758
1648860,756
1656980,759
1665100,757
1673212,760
1681332,758
1689452,758
1697572,756
1705692,756
1713812,755
1721924,757
1730044,757
1738164,759
1746284,758
1754404,759
1762524,758
1770644,758
1778764,756
1786876,757
1794996,756
1803116,758
1811236,757
1819356,759
1827476,759
1835588,759
1843708,758
1851828,757
1859948,756
1868068,757
1876188,758
1884308,758
1892428,759
1900540,759
1908660,759
1916780,758
1924900,757
1933020,756
1941140,758
1949252,756
1957372,758
1965492,757
1973612,759
1981732,758
1989852,759
1997972,757
2006092,757
2014204,755
2022324,758
2030444,757
2038564,759
2046684,758
2054804,760
2062916,758
2071036,758
2079156,757
2087276,757
2095396,756
2103516,757
2111636,757
2119756,758
2127868,759
2135988,758
2144108,757
2152228,757
2160348,756
2168468,756
2176580,756
2184700,757
2192820,757
2200940,759
2209060,758
2217180,758
2225300,757
2233420,756
2241532,756
2249652,755
2257772,757
2265896,756
2274012,759
2282132,757
2290244,759
2298364,757
2306484,757
2314604,755
2322724,756
2330844,756
2338964,758
2347084,757
2355196,758
2363316,758
2371436,758
2379556,756
2387676,757
2395796,755
2403916,756
2412028,755
2420148,757
2428268,756
2436388,758
2444508,757
2452628,757
2460748,756
2468860,756
2476980,754
2485100,756
2493220,757
2501340,758
2509460,758
2517572,759
2525692,758
2533812,757
2541932,756
2550052,756
2558172,757
2566292,756
2574412,757
2582524,758
2590644,758
2598764,757
2606888,758
2615004,755
2623124,756
2631236,755
2639356,757
2647476,756
2655596,758
2663716,757
2671836,758
2679956,757
2688076,757
2696188,755
2704308,756
2712428,755
2720548,757
2728668,757
2736788,757
2744900,758
2753020,758
2761140,756
2769260,756
2777380,755
2785500,756
2793620,755
2801740,757
2809852,756
2817972,759
2826092,757
2834212,757
2842332,757
2850452,756
2858564,755
2866684,756
2874804,757
2882924,756
2891044,758
2899164,757
2907284,758
2915404,756
2923516,757
2931636,755
2939756,757
2947876,756
2955996,757
2964116,757
2972228,758
2980348,757
2988468,758
2996588,756

