Tempo,Saida
128,0
8108,0
15964,2
23876,19
31840,43
39792,79
47752,120
55772,166
63788,215
71804,265
79812,313
87832,359
95848,398
103860,436
111924,470
119988,496
128060,523
136116,544
144180,566
152244,584
160308,599
168380,614
176444,628
184508,640
192572,647
200628,655
208692,664
216756,672
224820,678
232892,682
240956,686
249020,689
257084,692
265140,695
273204,699
281268,701
289332,705
297404,707
305476,709
313548,710
321620,711
329680,712
337744,712
345808,713
353872,714
361940,714
370004,715
378068,714
386140,716
394208,716
402280,717
410348,718
418416,719
426484,719
434548,720
442620,719
450684,720
458740,720
466812,720
474884,720
482948,720
491012,720
499084,719
507156,719
515228,718
523292,718
531352,717
539424,719
547496,718
555560,719
563628,718
571692,720
579764,720
587828,721
595892,720
603964,720
612036,719
620104,719
628172,718
636244,718
644316,717
652388,717
660452,716
668528,715
676592,716
684656,717
692724,717
700796,718
708868,719
716940,719
725004,720
733068,719
741144,720
749212,719
757280,720
765348,718
773420,719
781492,717
789564,719
797632,717
805704,719
813776,718
821836,718
829908,718
837980,719
846052,718
854124,720
862188,720
870260,720
878332,720
886404,720
894468,720
902540,720
910604,719
918676,720
926748,719
934812,720
942884,719
950956,719
959024,717
967092,718
975164,718
983236,719
991308,719
999376,719
1007448,720
1015564,719
1023684,720
1031804,719
1039916,719
1048036,718
1056156,719
1064276,718
1072396,718
1080516,717
1088636,718
1096756,717
1104868,717
1112992,716
1121108,716
1129228,714
1137348,717
1145468,715
1153580,716
1161700,716
1169820,717
1177940,716
1186060,718
1194180,717
1202300,719
1210420,717
1218532,719
1226652,717
1234772,718
1242892,718
1251012,718
1259132,716
1267244,717
1275364,716
1283484,717
1291604,716
1299724,716
1307844,716
1315964,715
1324084,716
1332196,716
1340316,717
1348436,717
1356556,717
1364676,717
1372800,718
1380908,717
1389028,719
1397148,717
1405268,719
1413388,717
1421508,718
1429628,717
1437748,717
1445860,716
1453980,717
1462100,715
1470220,716
1478340,715
1486460,715
1494572,715
1502692,716
1510812,716
1518932,717
1527052,717
1535172,717
1543292,717
1551412,718
1559524,717
1567644,718
1575764,717
1583884,718
1592004,717
1600124,717
1608236,717
1616356,717
1624476,717
1632596,716
1640716,717
1648836,715
1656956,715
1665076,715
1673188,716
1681308,715
1689428,717
1697548,716
1705668,717
1713788,717
1721900,718
1730020,718
1738140,718
1746260,718
1754380,718
1762500,718
1770620,718
1778740,718
1786852,717
1794972,717
1803092,717
1811212,717
1819332,716
1827452,716
1835568,716
1843684,715
1851804,716
1859924,716
1868044,717
1876164,717
1884284,718
1892404,718
1900516,718
1908636,718
1916756,719
1924876,718
1932996,719
1941116,719
1949228,718
1957348,718
1965468,717
1973588,718
1981708,717
1989828,717
1997948,716
2006068,717
2014180,715
2022300,716
2030420,715
2038540,717
2046660,716
2054784,717
2062892,717
2071012,718
2079132,718
2087252,719
2095372,718
2103492,719
2111612,718
2119732,718
2127844,717
2135964,718
2144084,717
2152204,717
2160324,716
2168444,716
2176556,716
2184676,716
2192796,715
2200916,715
2209036,716
2217156,716
2225276,716
2233396,717
2241508,717
2249628,718
2257748,718
2265868,717
2273988,719
2282108,717
2290220,719
2298348,717
2306468,718
2314588,716
2322708,718
2330828,716
2338948,717
2347068,716
2355180,717
2363300,715
2371420,716
2379540,715
2387660,716
2395780,715
2403900,717
2412020,716
2420140,718
2428260,717
2436380,718
2444500,718
2452620,718
2460740,718
2468852,718
2476976,718
2485092,718
2493212,717
2501332,717
2509452,717
2517564,717
2525692,717
2533812,717
2541932,715
2550052,716
2558172,716
2566292,717
2574412,717
2582524,717
2590644,718
2598764,718
2606884,718
2615004,718
2623124,719
2631236,718
2639356,718
2647476,717
2655596,718
2663716,717
2671836,717
2679956,717
2688076,717
2696188,716
2704308,717
2712428,715
2720548,716
2728668,715
2736788,716
2744900,715
2753020,716
2761140,716
2769260,717
2777380,717
2785500,718
2793620,718
2801740,719
2809852,717
2817976,719
2826092,717
2834212,719
2842332,717
2850452,718
2858564,717
2866684,718
2874804,717
2882924,717
2891044,717
2899164,716
2907284,717
2915404,716
2923516,717
2931636,717
2939756,717
2947876,717
2955996,718
2964116,718
2972228,719
2980348,718
2988468,720
2996588,718

